Run;K;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
26;2;-2732.1;-2646.5;171.2;0.12
18;7;-2580.3;-2099.9;960.9;0.0495
20;5;-2328.0;-2167.4;321.3;0.062
44;8;-2651.4;-2088.2;1126.3;0.046
37;7;-2760.0;-2098.6;1322.8;0.0483
30;4;-2345.1;-2188.2;313.7;0.0531
19;3;-2506.8;-2384.7;244.2;0.0669
27;6;-2653.4;-2130.3;1046.3;0.0551
41;5;-2328.7;-2166.6;324.3;0.0601
25;8;-2554.8;-2074.9;959.9;0.0456
13;3;-2506.4;-2384.7;243.3;0.0665
46;6;-2412.7;-2118.1;589.1;0.0533
35;9;-2647.8;-2092.5;1110.6;0.0437
1;2;-2732.6;-2646.2;172.8;0.1246
21;8;-2526.4;-2078.7;895.4;0.0458
39;7;-2957.5;-2108.0;1699.0;0.05
45;5;-2330.7;-2167.8;325.8;0.0596
42;6;-2614.7;-2131.8;965.8;0.0543
31;9;-2778.3;-2082.1;1392.5;0.0432
5;2;-2731.7;-2646.2;171.0;0.1179
17;3;-2507.3;-2384.7;245.3;0.069
4;9;-2585.9;-2076.9;1018.0;0.0435
29;6;-2652.4;-2153.3;998.3;0.0545
40;8;-2488.4;-2076.8;823.1;0.046
33;7;-2896.5;-2104.9;1583.2;0.0502
4;5;-2333.0;-2167.4;331.2;0.0605
4;10;-2411.6;-2073.6;676.1;0.0413
24;5;-2337.4;-2166.1;342.6;0.0609
23;6;-2438.0;-2117.7;640.5;0.0531
50;9;-2581.9;-2081.5;1000.8;0.044
34;4;-2347.1;-2188.6;317.1;0.0536
48;6;-2624.9;-2131.4;987.0;0.0534
32;3;-2508.0;-2384.6;246.8;0.0657
8;4;-2347.0;-2188.7;316.7;0.0534
47;10;-2725.6;-2087.2;1276.8;0.0413
14;9;-2983.6;-2112.7;1741.7;0.0438
3;3;-2505.2;-2384.4;241.6;0.0658
22;2;-2732.3;-2646.2;172.1;0.1221
2;8;-2609.1;-2103.7;1010.8;0.0464
49;2;-2732.5;-2646.2;172.6;0.1189
26;10;-2693.1;-2089.6;1207.1;0.0416
11;4;-2345.8;-2188.3;315.0;0.0538
2;4;-2345.9;-2187.7;316.4;0.0537
38;3;-2506.7;-2384.2;245.0;0.0661
43;2;-2731.5;-2646.1;170.8;0.1203
8;8;-2526.8;-2076.0;901.7;0.0455
28;2;-2733.0;-2646.3;173.3;0.121
16;7;-2632.0;-2079.6;1104.9;0.0497
9;3;-2505.8;-2384.4;242.8;0.0672
31;8;-2515.4;-2075.5;879.9;0.0457
42;7;-2873.8;-2097.3;1553.1;0.0484
29;7;-2827.3;-2110.7;1433.3;0.0498
17;2;-2733.5;-2646.5;174.0;0.1198
21;9;-2649.3;-2082.2;1134.3;0.0432
19;10;-2669.5;-2089.9;1159.3;0.0411
45;4;-2346.0;-2188.3;315.3;0.0543
4;7;-2478.9;-2077.5;802.7;0.0469
39;6;-2611.6;-2157.3;908.7;0.055
50;8;-2597.1;-2082.4;1029.4;0.0465
23;7;-2486.5;-2102.5;768.0;0.0502
48;7;-5932.7;-2197.1;7471.1;0.0485
34;5;-2328.9;-2169.2;319.5;0.0625
33;6;-2485.0;-2119.2;731.5;0.0538
40;9;-2625.2;-2086.9;1076.6;0.0432
13;10;-2411.2;-2070.5;681.4;0.0415
24;4;-2347.3;-2188.4;317.7;0.0548
22;3;-2507.1;-2384.6;245.1;0.0656
49;3;-2506.0;-2384.3;243.4;0.0658
32;2;-2733.1;-2646.6;173.0;0.1194
2;6;-2394.7;-2114.3;560.8;0.0522
14;8;-2629.3;-2076.2;1106.4;0.0455
43;3;-2505.4;-2384.2;242.5;0.0648
36;10;-2489.8;-2071.6;836.5;0.0411
16;6;-2518.0;-2117.4;801.1;0.0523
28;3;-2505.8;-2384.0;243.6;0.0647
11;5;-2329.9;-2167.0;326.0;0.0606
8;6;-2369.6;-2112.2;514.8;0.0521
38;2;-2731.7;-2646.1;171.2;0.1216
12;6;-2511.2;-2119.3;783.9;0.0528
47;3;-2508.1;-2384.6;247.2;0.0663
32;10;-2609.3;-2101.0;1016.6;0.0413
15;5;-2336.6;-2166.3;340.6;0.0619
38;10;-2422.5;-2076.0;693.0;0.0419
18;6;-2440.2;-2118.6;643.2;0.0512
26;3;-2507.3;-2384.5;245.7;0.0653
6;6;-2633.4;-2129.4;1007.8;0.0527
10;8;-2585.8;-2083.6;1004.5;0.0463
36;2;-2732.2;-2646.2;172.0;0.1201
30;5;-2337.9;-2166.3;343.3;0.0607
27;7;-2615.9;-2095.3;1041.3;0.0503
19;2;-2732.3;-2646.3;172.1;0.1225
20;4;-2346.4;-2188.6;315.5;0.0535
17;10;-2646.1;-2083.1;1125.9;0.042
37;6;-2610.2;-2122.9;974.5;0.0534
44;9;-2447.4;-2072.0;750.8;0.0434
13;2;-2731.8;-2646.3;171.1;0.1211
35;8;-2480.3;-2072.0;816.7;0.0449
46;7;-2699.8;-2098.6;1202.4;0.0492
41;4;-2347.9;-2188.1;319.5;0.0536
25;9;-2482.2;-2075.4;813.6;0.0429
6;3;-2507.8;-2384.4;246.7;0.0668
19;7;-2543.2;-2103.2;879.9;0.0494
27;2;-2732.5;-2646.3;172.4;0.1197
7;8;-2561.6;-2083.5;956.1;0.045
37;3;-2505.5;-2384.2;242.7;0.0663
42;10;-2520.2;-2074.2;892.0;0.0416
11;9;-2752.2;-2080.5;1343.5;0.0433
29;10;-2444.4;-2074.0;740.8;0.0414
46;2;-2732.2;-2646.3;171.9;0.1194
13;7;-2664.1;-2089.7;1148.8;0.0488
23;10;-2486.0;-2081.9;808.1;0.0415
14;4;-2348.0;-2188.4;319.0;0.0551
48;10;-2556.3;-2081.3;949.9;0.041
7;4;-2346.7;-2188.4;316.5;0.0541
47;6;-2523.7;-2120.1;807.1;0.052
34;9;-2639.0;-2089.4;1099.1;0.0436
50;4;-2886.3;-2203.9;1364.7;0.0554
12;3;-2506.3;-2384.6;243.3;0.0641
1;9;-2420.6;-2074.4;692.4;0.0434
24;8;-2529.1;-2076.5;905.0;0.0452
40;5;-2334.4;-2167.6;333.6;0.0605
26;6;-2411.3;-2116.4;589.8;0.0544
18;3;-2508.0;-2384.7;246.6;0.0675
31;4;-2347.0;-2188.4;317.2;0.0528
45;8;-2651.8;-2092.3;1119.0;0.0459
36;7;-2591.6;-2090.1;1002.9;0.0492
1;5;-2327.5;-2167.1;320.6;0.062
1;10;-2419.0;-2076.8;684.4;0.0415
21;5;-2339.7;-2166.0;347.4;0.0603
