Run;K;sample;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
17;6;1;-783.3;-507.1;552.4;0.0494
33;3;4;-773.9;-544.0;459.9;1.6987
20;7;8;-526.1;-406.7;238.8;0.0763
11;10;6;-606.2;-571.9;68.8;3.2815
44;3;5;-638.8;-415.1;447.5;0.0776
20;2;6;-571.0;-506.0;129.9;0.2454
1;4;3;-646.9;-434.5;424.8;0.1098
2;3;1;-694.6;-537.7;313.8;0.0684
10;5;1;-676.5;-501.0;351.0;0.0536
27;4;8;-510.9;-411.1;199.6;0.1191
39;10;9;-2129.4;-520.2;3218.5;2.3524
28;9;8;-571.1;-408.8;324.7;0.0599
48;2;4;-644.6;-550.2;188.8;2.822
12;6;7;-674.5;-452.2;444.7;0.0753
36;3;2;-601.1;-487.0;228.3;0.1259
21;10;8;-589.0;-409.6;358.9;0.0569
29;4;10;-629.5;-464.9;329.3;0.0952
26;9;10;-625.3;-469.9;310.8;0.0728
24;8;9;-1040.7;-484.6;1112.2;0.0769
2;6;9;-602.6;-579.3;46.7;5.0963
47;3;7;-1018.6;-463.9;1109.4;0.4023
3;8;1;-694.0;-670.0;48.1;5.8131
30;6;8;-556.9;-538.4;37.0;5.7253
5;6;5;-1698.6;-424.4;2548.4;0.5122
23;2;4;-869.5;-508.3;722.5;0.3136
40;5;9;-962.7;-457.3;1010.8;0.0724
42;4;10;-609.8;-455.9;307.9;0.0922
39;2;1;-696.2;-592.5;207.4;0.0909
13;5;3;-657.2;-440.4;433.7;0.1145
13;10;2;-606.1;-479.6;252.9;0.0691
11;6;5;-588.9;-416.4;344.9;0.0744
43;9;8;-535.3;-405.2;260.3;0.064
10;9;2;-1094.8;-494.8;1200.1;0.2108
39;3;4;-937.5;-497.9;879.2;0.1879
13;4;6;-682.6;-439.5;486.2;0.0684
47;2;2;-626.3;-602.9;46.8;7.0159
23;3;1;-714.6;-536.9;355.3;0.0651
14;2;8;-536.3;-442.6;187.5;0.0905
8;7;6;-710.4;-442.9;535.1;0.0576
1;8;3;-1090.0;-442.8;1294.3;0.7391
26;6;9;-1496.6;-533.6;1926.1;2.1233
24;7;10;-579.5;-558.4;42.2;7.2894
35;2;5;-526.5;-440.5;171.9;0.0742
10;8;7;-689.8;-443.0;493.8;0.0667
7;6;7;-646.0;-447.8;396.3;0.0807
18;3;9;-715.0;-495.9;438.1;0.1107
10;4;4;-776.3;-548.6;455.4;4.278
32;8;8;-522.5;-406.7;231.6;0.0662
20;3;3;-604.3;-438.2;332.1;0.1267
12;7;2;-615.6;-483.0;265.0;0.0826
36;2;7;-514.0;-466.5;95.1;0.151
13;8;5;-598.1;-416.1;364.1;0.0652
41;7;8;-529.8;-406.6;246.4;0.0728
3;4;1;-729.0;-501.0;456.1;0.0536
33;5;10;-595.2;-459.8;271.0;0.0852
31;4;9;-720.4;-482.0;476.8;0.09
25;10;10;-631.7;-468.5;326.4;0.072
48;3;1;-715.7;-543.5;344.4;0.0753
15;4;2;-618.0;-480.7;274.6;0.1072
49;9;8;-516.7;-406.4;220.7;0.0613
46;4;8;-503.2;-409.8;186.9;0.1264
34;6;10;-640.2;-463.0;354.4;0.0817
25;3;5;-601.1;-425.1;351.9;0.0941
36;7;9;-964.6;-464.5;1000.2;0.063
19;10;2;-631.0;-480.2;301.5;0.0679
41;2;6;-574.4;-504.5;139.8;0.2026
40;10;8;-539.3;-409.4;259.8;0.056
19;5;3;-1264.4;-458.3;1612.1;0.972
16;8;3;-703.3;-432.1;542.5;0.0822
47;9;10;-651.1;-468.3;365.5;0.0701
17;7;4;-579.0;-554.8;48.4;7.8528
33;2;1;-695.5;-591.4;208.2;0.0802
45;8;9;-867.3;-470.3;794.1;0.0606
48;4;10;-582.4;-457.8;249.0;0.0939
29;2;4;-650.4;-504.4;292.0;0.1456
7;4;10;-596.8;-453.1;287.3;0.0854
9;8;1;-844.4;-516.8;655.3;0.0488
8;6;9;-1021.8;-463.3;1117.1;0.0814
21;5;9;-901.9;-474.6;854.7;0.0771
23;4;10;-582.7;-454.9;255.6;0.0897
18;6;7;-674.9;-447.0;455.7;0.0794
7;7;8;-556.3;-538.9;34.8;6.2259
26;3;7;-1586.2;-473.9;2224.5;0.9227
42;2;4;-815.2;-513.8;602.9;0.5027
22;9;8;-540.4;-410.5;259.6;0.0635
4;5;2;-626.8;-603.3;47.0;8.1023
15;8;1;-3380.0;-566.4;5627.2;0.9872
33;10;9;-1743.6;-550.5;2386.1;3.7052
8;3;1;-730.6;-539.1;383.0;0.0684
14;7;6;-760.4;-450.4;620.1;0.0671
30;2;3;-533.9;-512.2;43.4;3.5252
