Run;K;sample;LnProbData;meanLnLikelihood;varianceLnLikelihood;meanAlpha
6;4;9;-732.1;-490.3;483.8;0.1037
12;9;3;-529.2;-513.5;31.4;7.5968
49;2;7;-638.9;-471.6;334.6;0.141
5;6;3;-1152.9;-473.2;1359.4;2.8821
42;5;8;-511.9;-409.6;204.6;0.107
11;5;2;-604.7;-481.0;247.4;0.1114
3;8;7;-581.8;-558.7;46.3;6.8747
17;10;7;-660.7;-446.8;427.9;0.0601
45;3;6;-634.7;-442.3;384.7;0.0655
32;6;9;-827.8;-484.6;686.5;0.0751
21;2;5;-524.3;-440.4;167.8;0.081
30;7;10;-633.6;-462.4;342.5;0.0772
18;4;5;-656.4;-422.3;468.1;0.0991
45;6;8;-527.9;-410.0;235.7;0.0815
17;9;5;-555.1;-534.7;40.8;4.1206
32;3;7;-582.0;-457.5;249.0;0.1304
16;6;2;-625.3;-479.5;291.6;0.0863
3;9;8;-552.5;-408.4;288.3;0.0612
28;3;2;-614.8;-487.0;255.5;0.1164
35;5;9;-902.3;-471.1;862.4;0.0791
37;4;10;-597.8;-456.2;283.2;0.0799
38;9;10;-766.9;-474.5;584.8;0.1331
9;4;7;-1355.8;-459.3;1793.0;0.5539
14;5;4;-661.4;-551.9;219.0;6.6419
49;7;9;-1189.8;-481.7;1416.3;0.081
5;2;4;-575.1;-554.0;42.4;2.3463
14;10;1;-969.5;-510.9;917.2;0.048
6;5;6;-743.4;-444.2;598.3;0.0638
24;2;3;-551.7;-450.9;201.6;0.1131
39;4;8;-511.0;-411.2;199.6;0.1183
27;10;9;-1343.7;-477.7;1732.1;0.1738
36;9;8;-515.1;-408.2;213.9;0.0595
14;9;7;-726.9;-451.3;551.3;0.0626
31;3;5;-620.7;-415.5;410.4;0.0799
20;6;10;-633.2;-461.7;342.8;0.0784
22;7;9;-1166.0;-481.3;1369.4;0.0924
2;2;8;-541.1;-445.0;192.3;0.1066
18;8;6;-594.2;-573.1;42.2;7.8443
15;10;3;-533.2;-512.3;41.8;5.0748
17;5;6;-623.5;-441.6;363.7;0.0604
19;7;1;-3080.6;-626.2;4908.8;3.953
10;3;8;-519.4;-417.0;204.9;0.1302
27;2;1;-696.1;-670.4;51.4;5.7902
43;3;2;-598.1;-485.0;226.3;0.135
4;9;4;-756.7;-545.0;423.4;1.4213
38;6;9;-923.7;-456.0;935.5;0.0612
14;8;2;-653.2;-482.6;341.2;0.0772
9;8;7;-641.2;-450.5;381.5;0.0666
48;5;8;-531.1;-406.8;248.6;0.0952
6;9;6;-1286.7;-455.6;1662.1;0.1634
47;8;8;-530.8;-408.1;245.5;0.0675
15;7;5;-594.8;-412.2;365.2;0.0636
27;3;4;-782.0;-492.1;579.7;0.1327
34;7;8;-549.7;-406.0;287.5;0.076
43;2;7;-516.1;-466.2;99.9;0.1506
18;9;3;-529.3;-512.3;33.8;7.3719
17;4;3;-630.7;-444.7;372.0;0.1334
46;5;10;-900.9;-470.7;860.5;0.1701
44;4;9;-662.8;-484.7;356.2;0.1002
50;10;10;-1601.6;-522.4;2158.4;3.2871
49;8;10;-576.0;-556.9;38.3;6.7345
3;5;8;-507.8;-410.9;193.8;0.0987
19;6;4;-1026.4;-526.5;1000.0;0.9777
3;10;8;-526.7;-407.7;238.1;0.0568
28;2;7;-514.0;-466.7;94.6;0.1538
3;6;10;-633.3;-464.1;338.4;0.0813
8;3;7;-582.5;-453.3;258.4;0.1224
7;2;6;-581.7;-506.2;151.0;0.2605
4;5;4;-952.5;-525.1;854.6;1.4592
20;9;9;-1995.8;-507.7;2976.3;1.6169
22;8;10;-1602.9;-516.8;2172.1;1.7093
32;2;2;-630.2;-521.2;217.9;0.1032
16;7;7;-576.7;-558.0;37.5;6.672
24;3;6;-661.4;-441.8;439.2;0.0702
40;2;5;-526.7;-440.5;172.3;0.0801
23;5;8;-533.8;-412.7;242.2;0.1037
14;4;1;-766.1;-506.2;519.8;0.0603
7;6;1;-1200.5;-514.7;1371.6;0.079
49;3;2;-612.7;-485.2;254.9;0.1243
1;8;5;-782.9;-414.9;735.9;0.0805
24;6;8;-532.2;-409.0;246.4;0.078
37;2;4;-874.6;-536.7;675.9;2.6316
13;7;1;-1483.4;-517.6;1931.5;0.1182
12;8;6;-713.2;-447.2;532.0;0.0525
45;2;3;-702.2;-460.0;484.5;0.3064
8;2;8;-539.1;-444.1;190.1;0.0953
7;3;9;-650.2;-488.0;324.5;0.0972
14;3;10;-596.2;-458.8;274.8;0.0853
16;2;9;-791.5;-517.5;548.0;0.2163
46;10;9;-910.3;-486.4;847.9;0.061
28;7;9;-916.6;-477.1;879.0;0.0636
11;4;7;-677.8;-442.0;471.7;0.1036
33;4;8;-496.6;-410.9;171.4;0.1222
34;2;6;-575.4;-505.1;140.6;0.2554
10;7;3;-638.5;-434.2;408.6;0.0837
41;6;10;-647.5;-462.5;370.0;0.081
50;3;5;-634.5;-415.8;437.4;0.0837
43;7;9;-1050.9;-460.2;1181.3;0.0621
11;8;4;-856.7;-545.4;622.7;5.2327
3;4;7;-638.2;-443.5;389.4;0.1047
32;9;10;-1109.0;-543.4;1131.3;2.6436
30;8;9;-1670.3;-497.3;2346.1;0.5077
46;2;1;-694.1;-591.2;205.8;0.0821
35;10;8;-2245.0;-442.1;3605.7;0.7345
22;3;2;-1611.7;-522.5;2178.4;0.3834
9;9;8;-628.3;-412.8;431.1;0.0615
38;3;7;-571.3;-451.2;240.1;0.119
6;8;9;-925.9;-466.0;919.9;0.0633
12;4;5;-625.9;-410.5;430.7;0.0779
18;2;4;-618.4;-500.2;236.2;0.1382
32;5;6;-701.4;-440.9;521.0;0.0621
30;10;3;-746.3;-441.5;609.6;0.0764
27;8;3;-985.6;-459.3;1052.5;0.5386
4;2;7;-514.2;-466.5;95.4;0.1476
42;6;7;-677.8;-442.0;471.7;0.0789
28;5;3;-632.8;-436.1;393.4;0.1093
7;5;5;-674.3;-421.6;505.5;0.08
8;4;4;-1118.8;-520.9;1195.7;1.0169
35;3;8;-518.7;-415.0;207.4;0.1433
26;7;4;-798.7;-544.7;507.9;2.1336
28;10;2;-630.6;-480.8;299.7;0.066
8;10;3;-730.3;-435.8;588.9;0.0716
14;3;5;-598.1;-409.6;377.0;0.0777
31;9;7;-773.0;-440.2;665.5;0.0606
24;4;2;-607.6;-482.0;251.1;0.121
40;5;1;-709.0;-501.2;415.7;0.0542
39;2;9;-609.3;-512.6;193.3;0.1013
31;10;1;-1361.9;-517.8;1688.3;0.073
5;9;7;-583.9;-560.8;46.1;5.8909
31;5;4;-593.1;-552.2;81.6;3.0755
3;7;3;-678.0;-438.9;478.3;0.0909
43;10;2;-693.7;-484.6;418.3;0.0656
50;3;10;-567.2;-454.1;226.1;0.0898
13;9;8;-556.1;-539.4;33.4;8.3018
41;6;5;-610.4;-413.4;394.0;0.0701
24;8;1;-1345.1;-518.2;1653.9;0.1842
25;7;6;-681.6;-446.7;469.8;0.0556
40;9;2;-610.1;-478.9;262.3;0.0735
33;6;2;-2336.5;-528.0;3617.0;2.0084
17;3;7;-580.2;-448.7;262.9;0.1163
32;9;5;-610.4;-415.5;390.0;0.056
10;5;9;-963.8;-476.3;975.0;0.1023
12;4;10;-621.2;-470.3;301.9;0.0975
29;6;7;-717.8;-441.3;553.1;0.0759
43;5;3;-1241.3;-465.8;1551.0;1.3684
3;3;4;-1155.1;-518.7;1272.9;0.9131
34;5;2;-601.9;-481.7;240.4;0.112
29;3;9;-673.9;-491.2;365.3;0.1112
50;4;1;-738.6;-501.1;475.0;0.0564
17;6;9;-1528.1;-482.3;2091.6;0.2983
45;9;4;-784.8;-547.3;475.1;4.5823
15;7;10;-552.0;-479.5;144.9;0.0884
40;10;4;-674.2;-550.9;246.5;4.1567
32;10;7;-583.2;-560.0;46.3;6.3139
21;8;7;-621.1;-454.3;333.6;0.0657
44;6;3;-641.2;-434.1;414.2;0.0998
38;4;3;-632.1;-441.3;381.8;0.1239
5;8;8;-518.6;-405.8;225.5;0.0646
37;9;3;-531.6;-512.6;37.9;4.4324
36;6;4;-734.0;-545.6;376.8;2.908
12;3;1;-1193.5;-552.8;1281.3;0.0831
25;2;8;-539.3;-447.8;183.0;0.1145
49;8;5;-617.2;-415.6;403.3;0.0614
46;5;5;-614.5;-420.3;388.4;0.0783
22;4;6;-691.6;-440.1;503.0;0.0618
48;7;2;-645.0;-481.9;326.3;0.0846
14;10;10;-632.3;-474.1;316.4;0.0763
39;7;7;-703.3;-443.1;520.4;0.0709
49;4;6;-641.0;-436.5;408.8;0.0632
33;10;5;-645.9;-419.2;453.4;0.0702
23;7;2;-610.2;-479.8;260.9;0.0783
2;8;4;-775.0;-543.1;463.9;2.1899
46;9;6;-1167.9;-456.0;1423.7;0.1499
47;6;1;-740.9;-505.1;471.5;0.0483
22;8;5;-1657.5;-444.4;2426.2;0.5874
41;10;6;-713.3;-448.6;529.5;0.0481
34;9;1;-909.2;-517.2;784.0;0.051
42;3;9;-640.1;-488.7;302.8;0.0985
40;2;10;-551.5;-468.1;166.8;0.0725
50;8;2;-627.5;-476.6;301.8;0.0704
35;6;6;-767.9;-444.3;647.2;0.0636
11;3;3;-533.3;-512.3;41.9;7.7807
4;3;8;-511.6;-415.9;191.4;0.146
45;5;7;-648.7;-446.7;404.1;0.0891
21;4;4;-871.0;-496.2;749.6;0.1644
49;5;3;-706.7;-437.2;539.1;0.1171
10;10;8;-526.8;-406.2;241.2;0.0555
46;8;3;-665.5;-445.2;440.7;0.1245
23;6;7;-574.9;-558.7;32.3;7.55
17;9;10;-630.9;-474.2;313.5;0.0779
15;8;9;-601.5;-579.4;44.2;5.4986
47;7;4;-701.8;-548.7;306.3;2.9166
18;4;10;-644.1;-462.4;363.5;0.0853
38;9;5;-627.0;-416.5;421.0;0.061
37;4;5;-694.3;-407.5;573.6;0.0764
5;4;8;-503.6;-410.3;186.7;0.1273
1;10;1;-907.0;-514.5;784.8;0.0467
39;6;2;-627.8;-478.7;298.3;0.0912
45;4;2;-593.8;-481.7;224.1;0.134
19;9;8;-515.2;-405.3;219.7;0.0629
21;5;1;-3091.6;-572.2;5038.9;0.8848
16;4;8;-522.3;-408.3;228.1;0.1254
34;8;4;-572.7;-552.7;40.0;4.188
49;10;2;-624.9;-603.4;43.0;5.9454
9;7;3;-643.1;-432.6;420.8;0.0855
6;6;2;-1019.8;-492.6;1054.4;0.1533
35;7;3;-748.3;-442.0;612.5;0.1488
11;2;6;-576.8;-505.6;142.4;0.2178
50;9;7;-694.7;-446.3;496.7;0.0632
20;6;5;-1585.3;-503.3;2163.9;3.471
31;3;10;-582.1;-454.2;255.8;0.0803
33;2;9;-926.8;-550.0;753.7;1.1643
45;8;1;-697.1;-670.7;52.8;7.0324
44;7;6;-655.1;-443.6;423.0;0.055
21;9;2;-612.6;-480.8;263.6;0.0799
34;4;7;-582.9;-560.0;45.9;7.0151
50;10;1;-1755.6;-536.0;2439.2;0.1878
2;10;3;-531.3;-512.8;36.9;6.0417
50;5;4;-1135.8;-520.2;1231.2;1.0692
22;10;2;-1155.1;-494.2;1321.7;0.1347
1;3;6;-1857.9;-475.4;2765.0;0.3239
2;4;4;-586.8;-553.2;67.2;6.6579
22;5;3;-673.0;-435.5;475.0;0.1064
5;7;10;-1227.8;-476.5;1502.6;0.4846
48;6;7;-676.5;-444.9;463.2;0.0781
38;5;6;-651.1;-440.6;421.1;0.061
37;8;6;-890.2;-459.5;861.4;0.0639
36;7;1;-853.3;-512.3;682.1;0.0499
12;2;4;-578.0;-554.4;47.2;3.6602
1;2;9;-699.7;-573.9;251.5;5.2843
21;10;4;-598.4;-552.3;92.0;5.908
24;9;4;-796.7;-544.2;505.0;2.0758
40;8;7;-705.4;-448.3;514.1;0.0688
25;6;3;-698.2;-506.8;382.8;3.3481
7;10;5;-607.4;-418.5;377.8;0.056
31;4;1;-887.1;-525.4;723.3;0.0616
48;3;9;-623.5;-486.1;274.9;0.0872
27;5;5;-664.6;-416.4;496.3;0.0865
7;9;5;-1312.0;-424.7;1774.6;0.2753
28;8;5;-684.4;-409.8;549.2;0.0664
1;7;1;-790.9;-503.9;573.9;0.0471
8;8;4;-592.3;-552.5;79.5;5.4922
29;7;2;-615.2;-480.9;268.6;0.0818
39;10;5;-761.5;-418.9;685.2;0.0826
43;4;6;-619.1;-442.7;352.9;0.0715
33;7;7;-794.1;-442.3;703.6;0.0819
17;2;2;-633.6;-524.3;218.6;0.1349
44;2;8;-531.8;-442.6;178.4;0.095
42;7;2;-618.7;-480.9;275.7;0.0833
27;9;6;-681.8;-445.4;472.9;0.0516
28;4;6;-781.2;-440.5;681.5;0.0676
20;10;6;-819.8;-452.0;735.7;0.0649
26;6;1;-875.4;-508.4;734.1;0.0504
11;7;8;-517.8;-405.5;224.4;0.079
43;8;5;-2285.3;-461.0;3648.7;1.3069
18;3;1;-880.6;-553.8;653.5;0.0859
4;10;7;-914.2;-456.3;915.7;0.1452
32;4;3;-616.0;-436.3;359.5;0.1302
24;5;7;-677.3;-442.0;470.7;0.088
38;10;7;-841.3;-446.3;790.0;0.0565
40;4;4;-798.4;-543.9;509.0;2.5128
6;2;5;-528.7;-441.1;175.1;0.0767
23;3;9;-865.2;-496.2;737.9;0.1909
30;7;5;-800.4;-413.8;773.3;0.0825
5;5;7;-639.3;-448.7;381.1;0.0933
21;2;10;-649.7;-475.3;348.7;0.1177
31;8;2;-609.2;-488.0;242.3;0.0799
9;3;4;-822.1;-519.9;604.5;0.558
30;4;7;-682.6;-450.2;464.8;0.1093
6;10;3;-676.5;-438.7;475.6;0.0716
26;10;2;-629.3;-602.8;53.2;7.5443
24;6;5;-728.8;-405.7;646.2;0.0704
35;3;10;-580.5;-454.2;252.6;0.0812
41;8;1;-2664.4;-543.5;4241.9;0.5988
37;2;9;-627.7;-517.9;219.6;0.1249
40;7;6;-1297.2;-450.5;1693.4;0.2043
25;9;2;-631.0;-604.4;53.3;4.7744
33;8;6;-701.5;-448.4;506.3;0.0595
32;7;1;-870.4;-509.4;722.1;0.0488
16;2;4;-939.5;-531.6;815.8;3.2774
5;3;6;-601.1;-440.3;321.5;0.0646
28;7;4;-574.6;-553.6;41.9;6.61
6;4;4;-1079.1;-531.6;1095.1;2.3768
9;5;5;-606.5;-412.0;389.0;0.0839
26;5;3;-648.6;-434.5;428.2;0.1019
1;7;10;-651.9;-468.1;367.6;0.078
29;8;3;-1229.8;-458.6;1542.4;1.288
1;4;8;-501.6;-409.7;183.8;0.129
33;4;5;-583.1;-419.2;327.8;0.0987
5;10;1;-692.1;-670.4;43.5;5.7895
19;3;7;-580.2;-453.0;254.5;0.1267
14;10;8;-552.5;-409.8;285.4;0.0567
42;8;3;-730.1;-432.5;595.2;0.0977
27;6;7;-669.2;-449.3;439.8;0.0791
13;9;10;-981.9;-482.6;998.6;0.2978
50;3;8;-519.8;-416.3;206.9;0.1412
11;8;9;-1000.1;-468.5;1063.2;0.0601
43;7;4;-642.7;-551.6;182.3;4.7625
30;8;4;-968.0;-532.6;870.9;0.7712
4;8;6;-734.9;-445.5;578.8;0.0557
2;6;2;-603.4;-482.7;241.5;0.0887
31;7;3;-684.8;-436.3;496.9;0.0871
15;2;6;-569.4;-505.3;128.3;0.2321
41;4;2;-607.1;-481.2;251.8;0.1322
25;5;1;-1259.9;-510.3;1499.2;0.1202
12;4;8;-574.2;-411.1;326.3;0.1216
4;9;9;-922.3;-478.3;887.9;0.0643
38;6;4;-579.2;-555.1;48.2;7.608
39;9;3;-623.6;-440.4;366.3;0.0824
36;4;3;-604.2;-441.8;324.7;0.1344
46;7;2;-631.8;-478.3;307.2;0.0828
23;9;6;-1240.5;-458.0;1565.0;0.1376
24;10;6;-641.2;-444.8;392.9;0.0498
48;5;5;-1749.6;-440.2;2618.9;0.7003
22;6;1;-1286.5;-507.2;1558.5;0.1009
15;7;8;-535.0;-404.2;261.7;0.0713
47;8;5;-690.0;-415.4;549.2;0.0704
2;2;5;-530.7;-441.4;178.5;0.0788
27;3;9;-657.2;-489.4;335.6;0.1181
1;5;7;-580.4;-558.3;44.1;8.769
34;7;5;-1536.1;-432.9;2206.5;0.4789
25;2;10;-553.8;-468.2;171.2;0.0755
35;8;2;-642.4;-481.2;322.3;0.0807
50;6;6;-697.8;-442.4;510.8;0.0591
20;5;7;-1697.2;-467.6;2459.2;0.9121
44;4;4;-570.3;-553.1;34.3;7.2178
19;6;9;-1654.6;-514.3;2280.6;1.3097
3;10;5;-2017.0;-462.5;3108.9;0.7435
35;4;1;-680.7;-499.6;362.2;0.0524
5;2;9;-752.5;-517.8;469.3;0.1517
25;10;4;-778.5;-544.7;467.6;4.2882
20;9;4;-973.8;-537.5;872.6;3.0747
44;8;7;-1131.9;-459.0;1345.6;0.2725
21;6;3;-684.7;-436.9;495.6;0.0966
37;7;7;-630.5;-455.5;350.1;0.0709
13;2;2;-625.3;-534.0;182.6;0.2418
40;2;8;-941.1;-486.7;908.7;1.0347
23;5;5;-1441.8;-438.7;2006.3;0.471
3;9;5;-660.0;-415.3;489.4;0.0611
49;6;1;-763.3;-502.6;521.4;0.0489
48;9;6;-833.6;-461.5;744.2;0.0553
5;7;1;-760.0;-502.9;514.2;0.0485
47;4;6;-986.1;-446.1;1080.1;0.165
18;4;8;-520.6;-408.8;223.7;0.1271
17;9;8;-546.8;-411.7;270.3;0.0608
45;6;5;-610.3;-409.9;400.9;0.0724
20;8;1;-872.5;-508.5;728.1;0.0479
21;7;6;-594.2;-572.7;43.1;7.5142
44;9;2;-630.3;-478.8;303.0;0.0816
35;10;1;-2478.7;-555.5;3846.4;0.3828
1;9;7;-620.0;-448.9;342.2;0.0626
8;6;2;-2375.5;-534.6;3681.9;1.9372
35;5;4;-597.5;-551.6;91.7;4.0156
7;7;3;-710.2;-439.8;540.9;0.0931
47;10;2;-903.7;-597.8;611.8;6.2357
14;5;9;-987.8;-491.5;992.6;0.2201
16;4;10;-590.9;-457.6;266.7;0.0995
49;7;4;-582.8;-553.6;58.4;5.5687
19;9;10;-647.7;-469.9;355.6;0.0764
48;8;3;-690.5;-448.8;483.3;0.0989
47;5;3;-626.9;-432.8;388.2;0.1035
37;6;2;-616.7;-481.8;269.7;0.0959
13;3;7;-597.2;-451.7;290.9;0.1185
4;5;9;-883.0;-482.4;801.2;0.0822
39;4;5;-886.0;-427.9;916.3;0.1717
36;9;5;-785.6;-420.5;730.3;0.0806
23;8;3;-867.8;-444.0;847.4;0.166
46;6;7;-736.8;-443.5;586.6;0.0776
3;5;5;-612.3;-419.2;386.2;0.091
31;3;8;-518.6;-414.8;207.5;0.1492
22;7;4;-939.1;-530.9;816.4;1.0288
38;7;1;-1235.9;-523.6;1424.8;0.08
39;8;6;-673.3;-440.6;465.5;0.0504
36;5;6;-700.5;-442.9;515.1;0.0603
34;10;3;-536.6;-513.6;45.9;5.0455
20;4;2;-2522.6;-536.6;3971.9;2.5238
44;5;1;-794.4;-507.9;573.0;0.0521
10;3;5;-577.0;-426.8;300.3;0.1069
50;7;3;-705.1;-437.0;536.2;0.0901
35;9;7;-576.8;-558.6;36.5;4.0929
37;10;5;-693.9;-410.3;567.3;0.0533
27;7;2;-620.8;-479.6;282.4;0.081
6;8;4;-824.9;-543.5;563.0;3.4059
42;9;6;-749.4;-443.6;611.6;0.0525
43;6;1;-725.5;-505.2;440.6;0.0485
26;8;5;-553.7;-534.4;38.6;6.0785
9;9;5;-746.0;-417.5;657.1;0.0657
45;10;6;-589.9;-573.2;33.4;6.6109
29;5;5;-625.7;-417.9;415.5;0.0826
10;10;10;-635.6;-468.0;335.2;0.0675
19;2;2;-617.1;-519.5;195.2;0.0902
41;5;7;-682.8;-444.7;476.2;0.0869
25;4;4;-622.0;-551.5;141.0;2.3555
46;3;9;-668.4;-489.8;357.2;0.0995
30;9;1;-810.2;-512.1;596.2;0.0478
44;2;10;-548.4;-467.2;162.5;0.074
31;6;6;-716.3;-442.8;547.1;0.0579
15;3;3;-615.9;-444.9;342.1;0.1298
9;10;5;-1915.4;-500.6;2829.6;5.3657
13;6;9;-631.1;-578.2;105.9;4.6957
41;9;4;-575.3;-554.0;42.7;6.6563
11;7;10;-635.6;-467.8;335.7;0.0762
44;10;4;-643.8;-552.0;183.6;2.8408
36;10;7;-619.5;-453.7;331.7;0.0597
25;8;7;-637.1;-451.6;371.0;0.0693
40;6;3;-536.8;-512.1;49.5;4.7234
7;3;4;-762.5;-494.1;536.8;0.157
30;5;2;-611.8;-481.3;261.1;0.1171
4;4;6;-661.2;-434.5;453.4;0.0568
8;2;5;-527.1;-440.8;172.6;0.0765
28;6;1;-856.1;-513.6;685.0;0.05
42;5;5;-619.9;-408.2;423.3;0.0858
26;4;6;-650.0;-439.5;421.1;0.0645
29;9;6;-597.8;-573.6;48.5;8.1721
1;8;8;-508.8;-407.4;202.9;0.0713
33;9;3;-1262.7;-467.3;1590.9;1.756
32;6;4;-574.6;-554.7;39.9;6.8881
16;3;1;-714.7;-535.2;359.0;0.0667
21;2;8;-1014.9;-498.7;1032.4;1.643
29;5;10;-588.7;-457.5;262.3;0.0986
24;9;9;-604.5;-578.8;51.2;7.7451
26;8;10;-580.8;-557.9;45.9;3.8983
36;2;2;-604.5;-536.2;136.7;0.2752
12;7;7;-643.5;-451.9;383.1;0.0759
7;10;8;-1297.8;-422.3;1751.2;0.3538
7;6;10;-597.7;-458.6;278.2;0.0785
18;10;5;-657.2;-415.0;484.5;0.0561
3;2;6;-576.0;-506.3;139.3;0.2417
48;3;4;-710.9;-508.7;404.4;0.2219
27;5;8;-518.8;-408.8;219.9;0.0957
10;4;1;-804.9;-505.9;598.0;0.0541
28;8;8;-546.1;-412.3;267.4;0.0671
20;3;6;-775.4;-449.8;651.2;0.0824
9;10;10;-629.6;-463.3;332.6;0.0667
44;2;5;-538.0;-441.4;193.2;0.0847
10;8;2;-1367.3;-589.0;1556.6;5.2628
4;7;2;-612.4;-481.8;261.1;0.0819
2;9;6;-710.5;-445.2;530.6;0.0548
43;8;8;-539.9;-408.1;263.5;0.067
11;7;5;-671.9;-415.0;513.8;0.0625
19;10;7;-668.5;-444.3;448.4;0.0563
8;4;9;-836.4;-488.7;695.4;0.1465
13;4;3;-612.3;-440.2;344.3;0.1251
42;5;10;-607.5;-459.9;295.3;0.0842
40;4;9;-1110.5;-532.9;1155.2;1.419
7;5;8;-510.8;-409.2;203.3;0.1068
39;3;1;-798.2;-539.4;517.6;0.0697
23;3;4;-978.9;-503.5;950.7;0.3773
30;7;8;-536.4;-406.5;259.8;0.0738
47;2;7;-517.2;-466.0;102.5;0.1479
8;5;6;-2487.1;-526.5;3921.2;4.2502
30;2;6;-573.3;-505.3;136.0;0.2294
14;7;3;-804.0;-443.0;722.0;0.1347
4;3;5;-595.2;-422.6;345.1;0.0962
45;6;10;-626.3;-461.3;330.1;0.086
47;7;9;-602.4;-579.5;45.8;5.8808
15;8;4;-574.4;-553.2;42.4;4.5223
7;4;7;-665.4;-439.7;451.5;0.1001
38;9;8;-854.4;-417.7;873.4;0.1218
29;10;9;-831.6;-469.7;723.8;0.0547
37;4;8;-588.5;-411.4;354.2;0.1297
18;6;2;-640.1;-482.8;314.7;0.0875
19;9;5;-1642.9;-438.8;2408.3;0.5989
2;8;9;-600.2;-577.8;44.8;6.5097
16;4;5;-634.1;-411.6;444.9;0.0865
36;9;10;-1375.0;-530.2;1689.6;2.701
42;2;1;-688.5;-595.3;186.5;0.142
34;8;9;-602.7;-579.7;46.0;5.0852
39;4;10;-600.8;-457.0;287.5;0.0864
31;10;8;-541.2;-408.8;264.6;0.057
26;3;2;-661.6;-487.5;348.1;0.126
20;6;8;-516.4;-412.3;208.2;0.0836
33;2;4;-681.1;-548.3;265.5;2.8783
17;7;1;-1483.4;-517.6;1931.5;0.1182
19;5;6;-680.8;-442.1;477.2;0.06
16;8;6;-621.0;-442.4;357.2;0.0489
3;6;1;-812.5;-504.4;616.1;0.0511
29;2;1;-695.7;-670.3;50.8;7.5114
50;5;9;-1031.6;-468.3;1126.7;0.0764
5;8;5;-652.2;-414.3;475.7;0.0637
15;4;7;-581.1;-558.5;45.2;7.4472
41;2;3;-584.9;-452.2;265.4;0.1239
10;3;10;-582.4;-456.7;251.4;0.0919
3;3;9;-600.6;-579.4;42.3;7.0654
12;2;9;-648.9;-514.8;268.2;0.115
42;10;9;-603.3;-580.4;45.8;7.242
29;3;4;-739.1;-545.6;387.0;2.7826
45;9;9;-1054.8;-479.2;1151.2;0.0696
33;3;1;-690.4;-539.8;301.2;0.0761
17;6;4;-992.5;-528.7;927.5;1.402
47;8;10;-1130.8;-486.7;1288.2;0.54
48;5;10;-600.4;-459.0;282.7;0.0845
19;4;3;-646.7;-439.1;415.2;0.1217
2;4;9;-702.2;-491.2;422.0;0.1323
16;9;3;-839.8;-446.0;787.7;0.1854
13;10;7;-715.2;-442.7;545.1;0.0573
41;3;6;-752.9;-447.2;611.3;0.0796
36;6;9;-1024.5;-464.4;1120.1;0.0644
25;2;5;-530.4;-441.3;178.3;0.0836
34;7;10;-932.9;-548.4;769.1;4.1052
49;8;8;-554.4;-409.1;290.5;0.0653
1;6;3;-1155.5;-479.2;1352.5;2.5719
8;9;6;-638.6;-443.7;389.8;0.0537
46;5;8;-510.2;-410.2;200.1;0.1033
15;5;2;-597.2;-480.5;233.3;0.1182
7;8;7;-580.6;-558.8;43.6;7.9759
3;10;10;-655.4;-476.9;357.0;0.0921
30;3;3;-620.6;-435.5;370.1;0.112
14;6;6;-1550.8;-471.8;2157.9;0.3879
15;9;1;-1159.1;-527.0;1264.2;0.0526
22;8;8;-523.1;-410.6;225.0;0.0655
42;3;4;-971.0;-515.2;911.6;0.8323
9;2;6;-568.3;-505.1;126.4;0.2134
6;3;7;-576.0;-452.3;247.4;0.122
12;10;5;-615.0;-415.2;399.6;0.0572
26;2;7;-515.1;-466.6;97.0;0.1505
5;4;5;-632.9;-412.5;440.7;0.0928
18;7;7;-630.3;-451.0;358.4;0.0721
35;10;10;-633.4;-468.1;330.7;0.0692
23;5;10;-640.5;-459.5;362.0;0.0897
21;4;9;-785.2;-484.1;602.3;0.0984
48;10;9;-908.5;-464.4;888.3;0.0551
18;2;9;-611.8;-513.5;196.5;0.1078
9;3;9;-897.8;-502.4;790.8;0.2351
6;2;8;-533.3;-444.2;178.3;0.0992
10;9;7;-683.7;-449.0;469.4;0.062
35;3;5;-622.8;-422.9;399.8;0.0873
24;6;10;-619.7;-464.9;309.7;0.0789
26;7;9;-859.1;-479.4;759.3;0.074
14;3;8;-544.7;-417.6;254.2;0.1457
23;2;1;-1260.7;-608.9;1303.6;0.728
47;3;2;-598.7;-485.4;226.6;0.1267
50;10;8;-529.7;-408.6;242.1;0.0589
9;6;1;-812.5;-504.4;616.1;0.0511
11;10;3;-1171.2;-461.5;1419.4;0.8977
13;5;6;-688.0;-440.2;495.7;0.0595
39;2;4;-934.6;-530.3;808.7;2.466
31;5;9;-898.8;-461.7;874.1;0.0764
33;4;10;-784.0;-461.6;644.7;0.1735
48;2;1;-884.4;-599.5;569.8;0.3597
8;8;9;-1111.6;-467.7;1287.6;0.059
41;6;8;-593.1;-408.9;368.5;0.0799
13;9;5;-735.3;-423.4;623.8;0.0639
36;3;7;-573.6;-449.9;247.4;0.1224
12;6;2;-613.5;-480.3;266.3;0.0892
7;9;8;-534.2;-406.5;255.4;0.0676
20;2;3;-595.1;-453.6;283.1;0.1107
23;10;9;-600.4;-580.5;39.8;7.3895
32;9;8;-541.0;-407.7;266.7;0.0582
10;5;4;-810.6;-544.1;533.1;4.635
1;2;4;-707.7;-504.6;406.2;0.2486
10;10;1;-3900.3;-571.1;6658.4;0.8187
2;5;6;-2835.2;-519.6;4631.2;3.084
12;10;6;-2321.3;-515.8;3611.1;1.9361
