Feature	Missing_percent	Value	EstAncestralFrequency	Pop1	Pop2	Pop3
GB316	0.0	0	0.903	0.993	0.991	0.945	
GB316	0.0	1	0.097	0.007	0.009	0.055	

GB317	0.0	0	1.000	1.000	1.000	1.000	

GB318	0.0	0	0.904	0.993	0.991	0.945	
GB318	0.0	1	0.096	0.007	0.009	0.055	

GB319	0.0	0	1.000	1.000	1.000	1.000	

GB320	0.0	0	1.000	1.000	1.000	1.000	

GB322	8.3	0	0.655	0.889	0.844	0.633	
	1	0.345	0.111	0.156	0.367	

GB323	10.0	0	0.701	0.548	0.704	0.834	
	1	0.299	0.452	0.296	0.166	

GB324	26.7	0	0.475	0.691	0.550	0.398	
	1	0.525	0.309	0.450	0.602	

GB326	35.0	1	0.800	0.830	0.977	0.860	
	0	0.200	0.170	0.023	0.140	

GB327	13.3	0	0.792	0.616	0.982	0.870	
	1	0.208	0.384	0.018	0.130	

GB328	13.3	1	0.897	0.989	0.991	0.938	
	0	0.103	0.011	0.009	0.062	

GB329	31.7	0	0.771	0.973	0.892	0.764	
	1	0.229	0.027	0.108	0.236	

GB330	25.0	0	0.892	0.948	0.989	0.956	
	1	0.108	0.052	0.011	0.044	

GB331	25.0	0	1.000	1.000	1.000	1.000	

GB400	10.0	0	0.812	0.836	0.986	0.876	
	1	0.188	0.164	0.014	0.124	

GB401	76.7	0	0.593	0.816	0.306	0.630	
	1	0.407	0.184	0.694	0.370	

GB408	0.0	1	0.904	0.990	0.948	0.971	
	0	0.096	0.010	0.052	0.029	

GB409	8.3	0	0.900	0.992	0.946	0.965	
	1	0.100	0.008	0.054	0.035	

GB410	8.3	1	0.604	0.852	0.111	0.704	
	0	0.396	0.148	0.889	0.296	

GB421	43.3	1	0.155	0.477	0.019	0.059	
	0	0.845	0.523	0.981	0.941	

GB422	46.7	0	0.786	0.914	0.222	0.913	
	1	0.214	0.086	0.778	0.087	

GB519	5.0	0	0.755	0.676	0.788	0.886	
	1	0.245	0.324	0.212	0.114	

GB520	1.7	0	0.870	0.945	0.943	0.960	
	1	0.130	0.055	0.057	0.040	

GB521	1.7	0	0.820	0.944	0.986	0.855	
	1	0.180	0.056	0.014	0.145	

GB522	16.7	1	0.895	0.988	0.992	0.934	
	0	0.105	0.012	0.008	0.066	

TE050	10.0	0	0.872	0.988	0.901	0.941	
	1	0.128	0.012	0.099	0.059	

TE054	26.7	1	0.775	0.975	0.878	0.783	
	0	0.225	0.025	0.122	0.217	

TS001	6.7	1	0.891	0.992	0.768	0.970	
	0	0.109	0.008	0.232	0.030	

TS002	10.0	0	0.733	0.980	0.479	0.764	
	1	0.267	0.020	0.521	0.236	

TS003	1.7	1	1.000	1.000	1.000	1.000	

TS004	1.7	0	1.000	1.000	1.000	1.000	

TS005	1.7	1	1.000	1.000	1.000	1.000	

TS006	1.7	1	0.782	0.984	0.089	0.892	
	0	0.218	0.016	0.911	0.108	

TS007	3.3	1	1.000	1.000	1.000	1.000	

TS008	3.3	0	1.000	1.000	1.000	1.000	

TS009	50.0	1	0.669	0.955	0.674	0.623	
	0	0.331	0.045	0.326	0.377	

TS010	53.3	0	0.555	0.938	0.517	0.437	
	1	0.445	0.062	0.483	0.563	

TS086	0.0	1	1.000	1.000	1.000	1.000	

TS087	0.0	0	1.000	1.000	1.000	1.000	
